gender,age,nation,city
男性,25,美国,旧金山
男性,35,美国,旧金山
男性,45,美国,旧金山
女性,25,美国,旧金山
女性,35,美国,旧金山
女性,45,美国,旧金山
男性,25,中国,上海
男性,35,中国,上海
男性,45,中国,上海
女性,25,中国,上海
女性,35,中国,上海
女性,45,中国,上海
男性,25,法国,巴黎
男性,35,法国,巴黎
男性,45,法国,巴黎
女性,25,法国,巴黎
女性,35,法国,巴黎
女性,45,法国,巴黎
男性,25,德国,慕尼黑
男性,35,德国,慕尼黑
男性,45,德国,慕尼黑
女性,25,德国,慕尼黑
女性,35,德国,慕尼黑
女性,45,德国,慕尼黑
男性,25,巴西,圣保罗
男性,35,巴西,圣保罗
男性,45,巴西,圣保罗
女性,25,巴西,圣保罗
女性,35,巴西,圣保罗
女性,45,巴西,圣保罗
男性,25,印度,孟买
男性,35,印度,孟买
男性,45,印度,孟买
女性,25,印度,孟买
女性,35,印度,孟买
女性,45,印度,孟买
男性,25,新加坡,新加坡
男性,35,新加坡,新加坡
男性,45,新加坡,新加坡
女性,25,新加坡,新加坡
女性,35,新加坡,新加坡
女性,45,新加坡,新加坡
男性,25,日本,东京
男性,35,日本,东京
男性,45,日本,东京
女性,25,日本,东京
女性,35,日本,东京
女性,45,日本,东京
男性,25,南非,约翰内斯堡
男性,35,南非,约翰内斯堡
男性,45,南非,约翰内斯堡
女性,25,南非,约翰内斯堡
女性,35,南非,约翰内斯堡
女性,45,南非,约翰内斯堡
